1,-2.5238,-2.8914,-3.1906,0.363,0.362632
1,1.0087,2.0928,2.5222,3.646,3.64569
1,-0.415521,-0.288137,-0.364592,2.05775,2.057739
1,0.989898,1.217133,1.603283,1.009426,1.009426
1,0.979897,1.481412,2.570517,1.018942,1.018941
1,-0.590192,0.17229,0.054735,-0.034095,-0.034475
1,-0.342535,-0.213031,-0.591386,-1.135465,-1.135391
2,-6.5515,-7.165,-8.1593,1.841,1.84098
2,7.2375,5.4734,13.4429,13.471,13.4705
2,-0.21515,-1.557287,2.491696,7.171208,7.171263
2,3.636792,3.585778,5.454732,3.351496,3.351503
2,13.226256,12.857805,29.754105,11.232525,11.232574
2,0.31261,0.125913,0.033761,0.368428,0.368413
2,-0.69905,-0.999137,-0.211148,-0.859833,-0.859947
3,-2.7264,-3.1792,-3.7581,0.597,0.597159
3,2.0411,1.691,6.4295,6.466,6.466
3,0.07555,-0.075917,0.211329,2.37875,2.378717
3,1.147415,1.053216,2.431546,1.578838,1.578767
3,1.31656,1.109265,5.912416,2.492728,2.492506
3,-0.477695,-1.025274,0.973974,1.574371,1.574511
3,0.32551,2.001517,1.215431,1.724995,1.725437
4,-0.3118,-0.2984,-0.4723,0.011,0.0113164
4,0.5073,0.2307,0.5258,0.746,0.745548
4,0.006252,-0.031188,-0.05158,0.236,0.235984
4,0.157027,0.115729,0.243791,0.2082,0.20809
4,0.024658,0.013393,0.059434,0.043347,0.043301
4,1.042595,-0.012039,0.843408,0.654429,0.654363
4,3.898351,0.85944,0.921057,-0.444024,-0.445976
5,-1.3281,-2.8437,-3.4128,0.125,0.124581
5,1.574,2.121,2.9045,4.354,4.3537
5,-0.046471,-0.538337,-0.380012,1.686667,1.686709
5,0.697912,1.263565,1.461978,1.306954,1.3068
5,0.487082,1.596596,2.137381,1.708129,1.707726
5,0.598681,-0.079706,0.276299,0.642651,0.642544
5,0.777695,-0.381124,0.966972,-0.848259,-0.848196
